aNrm_mean,aNrm_p25,aNrm_p50,aNrm_p75,aNrm_std,corr_aNrm_pLvl,corr_loga_logp,corr_mNrm_pLvl,frac_0,frac_1,frac_2,frac_3,mNrm_mean,mNrm_p25,mNrm_p50,mNrm_p75,mNrm_std,pLvl_mean,pLvl_p25,pLvl_p50,pLvl_p75,pLvl_std,path,t
1.4361133231814038,0.6513992919536318,1.228510383020339,1.9747030059155846,1.0836788933029213,0.004089128681977331,0.0014611347460352067,0.004133350403271577,0.974,0.017025,0.006,0.002975,2.4303982517837963,1.6035047770241229,2.234691309105333,3.026171891944121,1.1613196120506404,20.94927463155081,10.971868147513725,16.796261584146585,26.023764648090612,15.676379102611074,TM_init,0
1.4252655847297409,0.6507622487713686,1.2237040127201617,1.9582639276892344,1.0739485477209543,0.0037347188515872913,0.0015729967227772579,0.00383125665446816,0.97265,0.0183875,0.0089625,0.0,2.4195052762725573,1.6029000913555713,2.2295724339095466,3.0086756399424135,1.1503896192666148,20.95976218973783,10.970838175506657,16.801088903561194,26.050829686800405,15.723000536996814,TM_init,1
1.4146340663487587,0.6411045404572707,1.2154697139729083,1.951409188216065,1.0649771535356733,0.004964992782981313,0.003171660745469261,0.005370000412469686,0.973225,0.017675,0.0058125,0.0032875,2.408088582149343,1.5919328201400211,2.22046385033955,3.0017360552967114,1.1415441765981562,20.950581516137493,10.962148170316581,16.778188283482514,25.967572297226933,15.75218323775759,TM_init,2
1.402017491182599,0.6305475804979112,1.2031802913199567,1.9376286172483117,1.0582251128077802,0.004521277925864761,0.0032878598557383658,0.005211090444022025,0.97315,0.0182,0.0059125,0.0027375,2.3943223409738277,1.5799979157985446,2.2074965878625816,2.987217514207475,1.135193788842171,20.958077540190832,10.973201158469431,16.754235243430927,25.91534039796899,15.786508366930212,TM_init,3
1.3943471857160175,0.6253814914410866,1.198006542604158,1.9303270745884316,1.0508740651718347,0.004190970068475663,0.0017743217624657998,0.004880390356540455,0.9729625,0.01805,0.0062875,0.0027,2.3858960980798227,1.574066885332873,2.2020965621204507,2.979087325493767,1.1282296901591637,20.957963979315412,10.952643638152807,16.752055533645272,25.99553773851334,15.807713003761213,TM_init,4
1.3846111540130601,0.6219343890675131,1.1897198972722254,1.9156777820703916,1.041639886835278,0.0032118416939347556,0.00039238372885039253,0.004039776007695029,0.9726875,0.0183375,0.0058125,0.0031625,2.3754106386899867,1.570374992749116,2.193162609524115,2.964115545889407,1.1191328838119263,20.956888852649392,10.952614994003547,16.7555864477645,25.96428704951795,15.831725295360032,TM_init,5
1.3784725952912904,0.6215010682463807,1.1870678445188898,1.9110745710118837,1.0325469985657902,0.00028838793719472046,-0.002941544515803654,0.0010406820838485635,0.9724875,0.01865,0.0060375,0.002825,2.3689783076580753,1.570086293751548,2.19008849560125,2.9588611617078153,1.1098478312676843,20.95721118014227,10.969405168636825,16.778522127426356,25.950772236577766,15.797999904358544,TM_init,6
1.3726019070594904,0.6233662880680254,1.1817058300201808,1.9030465076890444,1.0259016378858157,0.0003326647077764613,-0.002202905689539294,0.0012151756198249095,0.972275,0.0183875,0.0062,0.0031375,2.3626017474165693,1.5723924559071085,2.1845042591589467,2.9508966445185423,1.1033676234481022,20.946298083875515,10.976778672412204,16.774947167570886,25.974055879070665,15.746051309266134,TM_init,7
1.3637074707399026,0.6160146608809931,1.177156563408306,1.8909595407411308,1.0171111413133482,6.23999696675547e-05,-0.0017572138585802133,0.0010145686979896552,0.972975,0.0176625,0.0061625,0.0032,2.3532310550120847,1.5637038014680174,2.1797060301048754,2.9381081614187416,1.0943582368815663,20.959237697359473,10.97562576362109,16.774646538488263,25.97039342656459,15.790373994237717,TM_init,8
1.354489990501638,0.6093015411662362,1.169448784789527,1.881432789705607,1.0114667067575982,-0.0002353704627000447,-0.0003299408941991237,0.0009763235342725638,0.9730625,0.018125,0.0058,0.0030125,2.343280540635464,1.5565070845421467,2.1713307876244814,2.92807287193218,1.0888161980897721,20.95672662582625,10.966461258457176,16.76514747835556,25.93800486353031,15.795762882391013,TM_init,9
