yy1,myEd,sumNormW,sumLWall
3759,2,24.7639682536982,0.06561648730069998
4029,2,24.822424217131847,0.06616865538553436
4039,2,24.87465101105451,0.06666198347532028
4109,2,24.93027417176628,0.06718739324223846
2850,2,24.98333166800311,0.06769157509621049
3953,2,25.04831270027306,0.06831090243394916
3342,2,25.107136525137825,0.06887210172275451
2677,2,25.14179833407481,0.0692034419873882
711,3,25.21011099765894,0.06986162075673276
1950,2,25.24455820797077,0.07019475225648794
2958,2,25.290084003302965,0.07063502234916816
1873,2,25.358217014240232,0.07129637364007786
2786,2,25.41063839764657,0.0718063476250914
4010,2,25.482675544525673,0.07250721558492834
2245,3,25.564479072507346,0.07330751864765214
3647,2,25.620929702141872,0.07386105795683899
525,2,25.656696094806197,0.07421499091385221
1663,1,25.710541615395844,0.07474904022287394
3412,2,25.788025987987456,0.075529254339319
2446,3,25.83485800186111,0.07600322180908986
2578,2,25.89002733922588,0.07656265480011482
3695,2,25.934701988770552,0.077018365356302
2551,2,25.994814967735678,0.07763923602968151
1093,3,26.074139712130552,0.07846345735085486
2126,2,26.107965002537277,0.07881491799230766
4491,1,26.149548749808332,0.07924699264160597
132,2,26.204926209254175,0.07982488133328913
1722,2,26.241383344976548,0.08021057547813383
3936,2,26.295230605431602,0.08078460620819679
809,3,26.345111458011182,0.08131635363565078
1248,2,26.395930004562324,0.08186038304841949
3627,2,26.436623134147556,0.08229857906067292
454,1,26.493182933513822,0.08290915865422353
3677,2,26.540798964325525,0.08342363742306987
37,2,26.577916379178678,0.08382600033919274
2182,2,26.639168443164913,0.08449136701537618
2736,2,26.672279072350857,0.08485103994480996
3039,2,26.751854367124956,0.08571723720472978
1859,1,26.796241131327736,0.08620359284143415
3231,3,26.849636675564426,0.08679168589023423
1588,2,26.900716175710166,0.08735459192750705
4048,1,26.996081520807717,0.08840553659902603
639,3,27.034089340900962,0.08882558690144768
546,2,27.075170653285767,0.08928015881616418
4439,1,27.131536124419704,0.08990415686451844
1547,3,27.191990003296247,0.09058396657489333
17,3,27.232809713346917,0.09104666033200348
272,2,27.296799970393913,0.09177199356966653
295,2,27.33958912489698,0.09225701109272127
364,3,27.395389246187197,0.0928895086713401
582,2,27.435776653458287,0.0933473022516228
977,2,27.482369770211037,0.09387543790518425
1765,1,27.51727477744038,0.0942710881662188
3930,2,27.56967214571256,0.09486501534400729
4046,3,27.613936862688153,0.0953667584524084
4082,2,27.65864477591466,0.09587352521575992
2864,1,27.701037929273586,0.09635485492448818
356,2,27.75178597925715,0.09693344250513038
3871,2,27.793673008739226,0.09741100400860044
1594,1,27.822530042246353,0.09774518722309822
3328,3,27.863288394774553,0.09822093543756324
3636,3,27.868019825014308,0.09827626904347816
3662,1,27.91419442267878,0.0988162763691657
2968,2,27.986169279362315,0.09966610879935674
1083,2,28.034722057853557,0.10024397475783314
2138,2,28.06852857130764,0.10065302423959796
1777,2,28.147472153225568,0.10162618741029704
678,2,28.183124737473776,0.10206719584126181
1571,2,28.226428840472867,0.10260795387529045
3997,2,28.293564260102755,0.1034534914709808
1187,3,28.347190433636086,0.10413129888141454
4440,3,28.39864844530337,0.10478170183460286
1513,2,28.45436826774072,0.10549223764442796
1523,2,28.50049275556775,0.1060835263728717
3954,2,28.555469834308493,0.10678830009532642
2173,2,28.595451699359025,0.10730116773481856
2916,2,28.656861338707206,0.10810083312208477
4507,2,28.687167160039007,0.10849615171414084
3587,1,28.732632774617713,0.10909310499650644
1844,2,28.77987736394057,0.10971787848447949
2196,2,28.830339588246922,0.11040903573802227
4033,2,28.885111821179795,0.11117597814238246
2476,2,28.94453691288571,0.11200898051771009
949,2,28.992894674521647,0.11269415302349818
1438,2,29.056963209466446,0.11360192867615941
1698,2,29.10303531001891,0.11425471605743043
2363,2,29.136629569790724,0.11473070713661311
2483,2,29.21471436398737,0.11583707666848789
2810,2,29.264892239825464,0.11654803804800633
3006,2,29.308795655266294,0.1171700977164566
3114,3,29.34642733145759,0.11770329422929593
3292,2,29.388107069220364,0.11829384700505316
3367,2,29.39359022543956,0.11837153686825685
3727,1,29.426030750976555,0.11883118089269712
3834,2,29.475913286849025,0.11953795765288129
3840,2,29.551349221048046,0.1206067959595575
4121,2,29.609107459746838,0.12142516214939672
4135,3,29.68047914338925,0.12243641481431006
4379,2,29.74317451273351,0.12332473432831736
4510,2,29.80172815447028,0.12415437044203659
3625,2,29.832781212045866,0.12459670226815787
3095,3,29.86586164244644,0.1250691626763388
530,2,29.906090598869135,0.12564458813189563
3325,2,29.959909321656035,0.12642747063334883
746,3,30.008347706350452,0.1271327408351178
197,3,30.07648071728772,0.12813028413998856
240,3,30.109602175814175,0.12861834786429768
3073,2,30.16690138490828,0.12946887025410903
3639,1,30.216428331837953,0.13020402485621713
2401,3,30.279021143352768,0.1311393732759599
1441,2,30.31439061124783,0.13167392654175689
2225,2,30.360400802299903,0.13236929741812398
3141,2,30.407692540992166,0.1330840368492675
3192,3,30.46954231740702,0.13401879787166862
1221,2,30.536363056506605,0.13503752362132518
1239,2,30.603016394842086,0.13605873403326335
1758,1,30.65384681847189,0.1368413592045878
4287,3,30.655821454470928,0.13687193989291138
1467,2,30.71048225417173,0.1377187037403284
4308,2,30.770464011964833,0.13865129533724638
1383,1,30.82752784218796,0.13953918658432735
771,3,30.88804917726514,0.1404870276139992
1217,2,30.90882537357266,0.14081411008347466
3833,2,30.958906076347958,0.141618305908747
4502,2,31.028144215729604,0.14273013181283167
2242,2,31.08912631145278,0.14371761117903503
1716,2,31.093562087387706,0.14378963895181537
2195,1,31.138669824910863,0.1445241237283436
3615,2,31.19535992000862,0.14545485270148387
2041,3,31.234207705864613,0.14609408233518179
1781,2,31.28714857076553,0.1469751635455538
4306,2,31.335873822563997,0.14779353710459397
2132,3,31.38467124642819,0.1486166347254738
1464,2,31.4342417042362,0.14945946070352653
2430,2,31.473207804967856,0.15012198518710623
2774,2,31.527369305672774,0.15104287076740955
3903,3,31.560178130315037,0.1516007056339943
1358,2,31.600560962486686,0.1522876996673305
1574,1,31.63951453060378,0.15295351535715607
3113,2,31.674383828676646,0.15355265733872642
4310,2,31.716752112099915,0.1542826326650316
2106,2,31.781730536594864,0.155414440176653
2526,3,31.84785675406323,0.1565744494780572
636,3,31.88151014034538,0.1571657172299474
1779,2,31.92411142836163,0.15791879263445777
818,1,31.96881767225551,0.15871100842646688
2933,2,32.01251418207791,0.1594927607897466
229,2,32.08286270077834,0.16075531791247888
2517,2,32.14590176158326,0.16188669092075117
3632,2,32.19422631079891,0.16275615368256005
4320,2,32.224618564485006,0.16331213508100978
2373,3,32.27713281854226,0.16428060077465298
1113,2,32.342215205623525,0.16548084745586616
2509,3,32.38600835020812,0.1662943883083145
719,3,32.4543694313264,0.16756586270636392
3199,2,32.496283273572466,0.16835746281753994
160,1,32.5379961006076,0.1691454916332198
495,2,32.58622480358604,0.17005661682878276
812,2,32.67884828316009,0.17180643759378136
1246,3,32.73725491405011,0.17290984178475927
1443,2,32.77213207250997,0.1735687327741483
1965,3,32.86792056648514,0.17537834623907644
2168,3,32.91842602066485,0.17633248327728507
2216,2,32.972187501168214,0.1773481323910353
2688,2,33.04077674358595,0.1786439040591914
3109,2,33.10590378469616,0.1798742686430058
3131,2,33.14990040626967,0.18070544236238184
3490,2,33.20721775926886,0.18178826817430305
3565,2,33.250270604995904,0.1826016123046674
3757,2,33.30699507499858,0.18367323751191164
3320,1,33.369501121045914,0.1848568984259675
828,2,33.428781610996005,0.18597953114318486
1756,3,33.48888049574837,0.18712588027252006
4000,3,33.55574015077894,0.18840160795392077
1531,1,33.61120328210994,0.18945988221369328
1095,3,33.66097905641308,0.19041151853826782
3908,2,33.70756253219118,0.19131461126276583
3616,2,33.78489743360792,0.1928156072106579
709,2,33.84709383498232,0.19402417826314755
1994,3,33.92793425647963,0.19560332170818168
1451,2,33.965024844137474,0.19632905351054233
1639,2,34.01435001560492,0.19729603658627265
3897,3,34.06692892924631,0.1983366453251126
762,3,34.12106224791619,0.19941045280674236
4393,2,34.16186811720176,0.20021989233141765
3508,2,34.2020362330364,0.20103727841723176
3588,2,34.23952791008262,0.20180391136882148
2414,3,34.309886415734866,0.2032596976488627
997,3,34.3169140308353,0.20340573808673518
1067,1,34.363785154015524,0.2043797640194297
2253,1,34.418193711298706,0.20551042490738283
3219,2,34.45689207376499,0.20631461320152794
3993,2,34.48449227532711,0.2068902817905551
1795,3,34.53594194580558,0.20796408268564343
1707,2,34.58895228733556,0.20907193453310047
2930,2,34.63134922363692,0.20997300648413608
1807,2,34.67520887829724,0.2109051659287622
2814,2,34.71700103828638,0.21179575301079542
1002,2,34.78482418836909,0.21324179026610376
2155,1,34.83879917724778,0.21439985843363907
2368,2,34.88417626319526,0.21538569952655479
2222,3,34.923972225857945,0.21625350984446953
4515,2,34.986497048511474,0.21762314411203462
629,2,35.046258820392055,0.21893494062145616
3398,2,35.11021996948079,0.22034029621930423
233,3,35.1643042773238,0.22156639368866504
2604,3,35.212506728394295,0.22265914878957294
3714,3,35.22617206940653,0.2229704188530975
1106,2,35.28041922227494,0.22421875247797193
2982,3,35.34075944933856,0.22561289081873692
2834,2,35.381321784690456,0.22655408230193938
1474,1,35.39203344002219,0.22680501124022093
2098,2,35.44551256983511,0.2280618912248955
431,2,35.50490243604726,0.2294643652736791
686,2,35.50943836864866,0.2295714799746581
