yy1,myEd,sumEdW,sumLW
2804,2,68.9515222374448,5.661885793250838
334,2,69.13548901257444,5.735479058479789
3247,2,69.19744280160836,5.760401875233108
2695,2,69.32054449588072,5.8100457177576175
664,2,69.46081002682348,5.866796768408701
4326,2,69.53595670736217,5.897260526037838
2851,2,69.60399746915276,5.924879596788768
4154,2,69.77998828010176,5.99648011830663
359,2,69.89383466178546,6.043053250498959
53,2,69.98364810133864,6.079906908749089
1011,2,70.084355034407,6.121784485153118
2795,2,70.14744904558941,6.148062963385134
3607,2,70.21868405737133,6.178030721052167
4409,2,70.22314918630833,6.179930580897464
3200,2,70.36405703054956,6.240369617894898
1000,2,70.52021074049412,6.307637058892533
2535,2,70.6420607479117,6.360159473027695
1882,2,70.74814969624826,6.406273964675864
3004,2,70.84615895122151,6.448893241024874
1590,2,70.98210792562202,6.508032156142661
3813,2,71.08318036459364,6.552015797263731
2670,2,71.15931317033125,6.585436181496658
3770,2,71.25191876227596,6.626381570417479
3923,2,71.34524500142436,6.668157690504625
3224,2,71.45271357751133,6.71680324945908
3216,2,71.50550090225595,6.7407991495274056
2223,2,71.61492715478495,6.790802232275231
2684,2,71.77198712220883,6.864145569255677
430,2,71.90455150411866,6.92671995384386
1387,2,72.00296249596971,6.973172908725665
3377,2,72.0684510008341,7.004085457258317
2267,2,72.17891729549203,7.056301908489567
3060,2,72.36412443588718,7.144753772109741
1725,2,72.46116940796796,7.191331809393299
2427,2,72.56877217369383,7.243459225146127
1073,2,72.62351788524782,7.269991843436835
2504,2,72.72739560778135,7.3204218196093445
2485,2,72.86574481809326,7.387647552829385
1690,2,72.94681098408785,7.427140515454539
1250,2,73.05315860128563,7.479519317376855
2878,2,73.12157682561778,7.513283908828411
1868,2,73.21241987099606,7.558686956358894
3661,2,73.33229727113132,7.6189693215295256
1361,2,73.4302860789929,7.668332483349342
4483,2,73.43497347150361,7.670694935098572
3527,2,73.55611282900895,7.731880665471502
2454,2,73.63329510747617,7.771122911872551
117,2,73.77548486464272,7.843692914184174
429,2,73.77848010463201,7.845232696761652
3099,2,73.88479734527928,7.900639966085427
2076,2,73.98875897157528,7.95513988662352
1195,2,74.03736174333763,7.980780915791377
1655,2,74.15126171984163,8.040870341020808
2357,2,74.24170215025563,8.08858337528021
4381,2,74.28736482147274,8.112724031540706
4423,2,74.34909986448314,8.145782923867726
2799,2,74.52347749694329,8.240199055490075
1629,2,74.53394876811245,8.245882532238696
3130,2,74.67191922388989,8.320786800148129
1711,2,74.79998798526593,8.390637165470457
3365,2,74.95055203918923,8.473242107092377
1344,2,75.08062385009995,8.544657914002517
2145,2,75.17581062039697,8.597366914887768
2950,2,75.28822712820758,8.65967651378909
2147,2,75.37334183863491,8.706885835214925
3358,2,75.46569024465148,8.758220920903103
